"Greenhouse Gas Gross Total, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Mississippi,64.4161477,63.1903448,63.93957247,66.25841586,66.44994653,68.54908921,72.13693909,72.92005108,74.47918458,78.77366098,78.31033206,86.30326159,79.3955682,80.74148197,81.32353432,80.72462904,82.38714023,84.21939704,80.69228931,74.59452444,80.74243111,74.84931227,76.49718103,73.46132514,76.54095005,77.62343992,78.6053306,76.90947974,79.78833783,79.04704157,79.75930727,79.35952579
Utah,65.36081653,64.15471751,66.75938204,69.21828631,70.0843629,70.76082004,71.48192428,74.64171955,78.2172808,76.39517767,78.20329796,76.67677999,77.36313009,78.59158013,81.90427934,83.85537972,85.64570602,86.94586496,87.71155348,81.69306189,81.30008069,81.36470449,79.1645705,84.10498715,82.35328863,79.92918737,73.953846,73.57653415,74.90463794,75.67072839,72.33364732,76.90595458
New Mexico,78.27587424,74.55776503,77.51015002,80.71367368,82.54477024,83.27939776,84.4185515,87.48857103,87.15546518,88.43575567,91.30026807,91.61699463,89.9886925,92.92872058,95.1577221,96.77297884,98.58842761,97.00141951,95.54857783,96.54399587,92.3706808,94.39276506,90.07990061,89.20070985,82.1131417,81.96552051,79.27992642,80.08328368,76.65056324,81.96555993,76.30833376,75.83893091
Maryland,82.32692236,80.17003122,80.58132178,82.71039381,83.88348586,83.15444825,85.76200762,85.30069783,86.21993546,88.47670618,89.10440915,89.31060503,90.25572908,92.71392292,93.88488074,94.98401554,88.00507213,88.65962751,83.5034767,79.84608747,80.29603897,80.08803462,71.71205743,71.19975341,74.50566213,72.24371107,70.39553095,64.42700669,71.23053845,66.40527033,57.67760205,62.57982197
Massachusetts,90.94428869,88.89390978,90.55635755,86.77493523,87.57382204,84.97950314,85.97731577,92.06064817,90.56362841,88.20504658,89.00146363,89.17486622,89.68624591,92.05342832,89.68379504,90.2600726,83.90504154,87.14242602,82.37674598,77.82444649,79.78330639,75.72345403,69.438214,73.42972361,72.5382607,73.89943421,70.8080759,70.35707866,70.35705604,69.50475338,59.14705649,62.19468652
Montana,50.85441442,52.70790047,53.42296216,52.63185331,54.95918848,55.7498585,52.84967977,55.70964361,56.33601159,57.48530914,55.34914052,54.53219702,54.25930964,56.67556546,58.86245865,59.70164469,60.21837317,61.99555014,60.60891354,57.31786411,59.37615665,57.25938929,52.20319054,56.11610087,59.14757392,57.1160497,54.92088861,55.30730017,56.43127592,58.63562451,48.80106817,52.25060135
Oregon,44.27714619,46.67260969,47.89574991,48.4132983,49.58939234,48.3397363,50.73137234,50.40817318,56.30992277,57.19293303,55.39533466,54.00240901,52.85929032,54.23604183,54.9260782,55.10159293,54.10032615,57.50070719,56.35195286,53.55410373,52.29093486,49.03002734,48.02600543,50.43745267,49.37997799,50.07433151,49.85495906,51.41588638,52.11316216,54.60666768,50.44450294,51.42849527
Nevada,36.02483746,38.1411266,39.0222481,41.89637768,43.82180112,43.04432996,45.54974099,45.54406264,48.63235825,48.92121016,52.86373387,52.06934905,48.97285445,51.56983514,55.86848828,58.43663683,49.14099969,48.62341841,47.91330351,46.58829939,46.57167367,42.91955223,43.25894131,44.8555862,45.86630565,43.83293102,44.7444362,44.58543711,45.89077379,46.76453211,42.07139343,45.06104554
South Dakota,31.56375056,31.70730412,32.69739434,34.69474244,35.28504296,35.29363856,35.36710811,34.99569382,35.15364627,35.62621589,35.66252999,37.57917079,36.0125873,36.75871985,38.45935739,37.47600375,38.70427565,39.04553583,39.12545607,40.02724201,39.43332056,39.42128803,38.00587889,41.23526205,42.27823119,39.72599679,40.27364996,42.09299278,44.53966365,43.91621666,41.35247743,42.21583064
Connecticut,45.37775924,44.59030788,44.55134788,42.21161928,41.73972663,41.09046114,43.81345068,47.41858053,44.61452617,45.47669532,47.86899204,46.23665132,44.46926743,47.93583744,49.97040177,48.07531576,46.09282767,45.17570316,41.90252159,40.63058412,41.05648975,39.59270349,38.41401493,39.13897442,39.69896426,40.79334903,38.36584977,37.45481507,41.3074611,40.58467656,37.91923223,39.85992689
Alaska,36.01654666,36.936039,38.1966389,38.68673422,38.37452335,43.24454237,44.75746085,43.30406862,44.14659903,44.29459249,44.72749226,44.68442993,44.76020155,44.68528044,47.18223623,48.87946494,46.36293568,44.73385126,40.76023672,39.78013754,39.24334435,38.38106288,36.86664283,35.45515458,35.73168456,35.34140702,33.83457098,34.36366421,33.53073023,33.69993029,35.6305583,37.91546579
Idaho,22.79396354,23.76624701,23.06686973,24.7034518,24.79606173,26.57824368,27.45339727,27.84833247,28.70357747,29.18345744,30.22142482,29.83873925,29.92483304,29.9498785,31.09165187,31.80709126,32.5647521,32.9102129,32.24619807,32.29268818,31.38086347,31.82183943,31.43973411,33.50511767,32.46520368,33.27976875,33.94199865,34.73177912,34.83399259,36.44954475,36.98381402,37.83128823
Hawaii,20.04916458,17.79131182,19.27397795,18.36987383,19.47573753,19.61130915,19.66679507,19.32049091,19.35939326,18.35858567,18.8567307,18.54905682,19.54463426,19.372347,20.16665716,21.26252515,21.74164947,20.92295541,19.29269513,18.41950999,19.10598191,19.44225066,18.97176591,18.98825519,18.97223553,18.99987656,18.92125283,19.30908058,18.9281624,19.35636837,15.26300437,17.14871378
Maine,21.08488076,20.94507404,21.88950271,21.18426192,22.36207912,21.35625205,22.2650346,22.4697558,21.91410934,23.24812517,25.14361402,25.47521634,26.8282743,26.79224929,27.12125425,25.95595109,24.73785369,24.29027988,22.3368985,21.32239085,20.56720429,20.40684384,18.11463262,19.02538181,19.18802199,19.19165157,18.43425164,17.0161016,16.95969889,16.59420646,15.64816188,16.11855223
New Hampshire,16.87216424,16.65300863,16.68511191,17.09954374,17.29600974,17.54871321,17.89194777,19.58076411,19.01168609,19.13404896,19.6002151,19.26059634,19.28325103,23.31336676,24.43293272,23.64579593,22.02246081,21.62962407,20.86073295,19.38125575,18.96313558,18.58196597,16.73708312,16.57236585,17.35852406,17.29838823,15.63576525,15.10552659,16.09296766,15.78495385,14.24504035,14.95375016
Delaware,19.71309927,18.97111534,18.96280225,20.3598844,19.93250587,19.18331425,19.47266551,18.10040889,17.52340124,17.72527539,17.82109887,17.52145688,17.47670626,18.29836422,18.23819362,19.06188998,18.03991503,19.00693028,17.83312845,13.60438684,14.26288241,15.35749431,16.02410998,15.78311358,15.61164066,15.861276,16.75979357,15.49658067,15.73949612,15.35839703,14.27411012,14.70525456
Rhode Island,10.24102893,11.95507202,14.34121104,11.88239141,13.95127634,13.25381917,14.75480972,14.50451982,15.11514017,14.34487978,12.99523547,13.60918062,12.87498238,12.83922131,12.33122049,12.46960925,11.9032858,12.31200162,11.78111339,12.28100483,12.11761018,11.99224718,11.52626048,11.06034071,11.5990353,11.81670513,10.57337255,10.83089418,12.01105345,11.38831311,10.70980751,11.36979689
Vermont,7.649251163,7.852507275,8.222172015,8.405391701,8.249754923,8.380122874,8.930062966,8.996231954,8.920816372,8.863040131,9.264244374,9.216165765,8.912346794,9.197110572,9.570102179,9.336754715,9.327843506,9.072096821,8.338485559,8.672063334,8.470306242,8.574577119,8.050610113,8.418574701,8.603575937,8.842640989,8.52689105,8.319548318,8.49132982,8.847067694,8.166838471,8.125117015
District Of Columbia,4.90821745,4.784532074,4.909624219,5.117161687,5.052102336,4.891365632,4.853790577,4.785756713,4.620172543,4.64994899,4.88775374,4.735444427,4.895878137,4.600942178,4.63131883,4.845513849,3.911710997,4.057701661,3.788779971,3.840259852,3.932627398,3.658843084,3.156936351,3.380597014,3.608212575,3.551078973,3.361039068,3.113274222,4.141669207,3.372236564,2.962949218,3.076518576
