"Date","beef_commercial","veal_commercial","pork_commercial","lamb_commercial","total_red_commercial","beef_federal","veal_federal","pork_federal","lamb_federal","total_red_federal","broilers_federal","chicken_federal","turkey_federal","total_poultry_federal","total_meat_federal"
"Oct-2018","2430.6","7.2","2450.5","13.1","4901.4","2395.7","7.0","2436.6","11.9","4851.3","3909.0","50.9","572.9","4546.8","9398.1"
"Sep-2018","2157.5","6.0","2012.9","11.4","4187.8","2129.1","5.9","2000.4","10.1","4145.5","3417.9","42.1","428.2","3898.9","8044.4"
"Aug-2018","2429.6","6.5","2316.3","13.5","4765.9","2401.6","6.3","2302.5","11.9","4722.3","3892.3","53.6","517.0","4474.6","9196.9"
"Jul-2018","2231.6","6.1","1985.5","12.1","4235.3","2205.8","6.0","1973.9","11.0","4196.6","3629.5","48.3","485.7","4174.9","8371.5"
"Jun-2018","2300.9","5.8","2008.6","12.4","4327.6","2274.9","5.7","1998.7","11.2","4290.6","3492.8","49.1","485.4","4038.5","8329.1"
"May-2018","2307.0","6.4","2174.4","13.7","4501.5","2279.9","6.2","2164.0","12.5","4462.6","3738.0","46.8","510.1","4306.9","8769.5"
"Apr-2018","2117.7","6.1","2141.9","12.5","4278.2","2089.4","5.9","2131.4","11.5","4238.3","3456.3","42.9","481.7","3992.5","8230.8"
"Mar-2018","2203.5","6.1","2296.8","14.1","4520.5","2174.7","5.9","2285.2","13.3","4479.1","3489.7","42.8","481.7","4026.4","8505.5"
"Feb-2018","1983.9","5.8","2058.1","11.7","4059.5","1956.4","5.6","2047.1","10.8","4019.9","3256.7","38.8","460.3","3767.0","7786.9"
"Jan-2018","2279.0","6.6","2290.1","12.7","4588.5","2248.4","6.5","2278.7","11.7","4545.3","3639.0","42.9","509.5","4204.5","8749.8"
"Dec-2017","2148.4","6.6","2235.0","12.8","4402.7","2123.0","6.4","2224.1","11.8","4365.3","3324.8","41.2","461.1","3838.2","8203.5"
"Nov-2017","2290.6","6.4","2244.8","12.4","4554.2","2265.8","6.3","2233.5","11.4","4517.0","3437.3","45.4","517.2","4012.1","8529.1"
"Oct-2017","2303.0","6.4","2316.5","11.9","4637.8","2270.1","6.2","2302.5","10.9","4589.7","3709.5","48.3","554.2","4324.2","8913.9"
"Sep-2017","2225.6","6.1","2164.9","11.3","4407.8","2195.0","5.9","2151.2","10.1","4362.2","3429.9","43.7","467.9","3952.6","8314.8"
"Aug-2017","2402.1","6.4","2210.5","12.9","4631.9","2373.7","6.2","2196.1","11.6","4587.6","3763.6","50.7","543.1","4369.2","8956.8"
"Jul-2017","2107.9","5.7","1864.9","11.0","3989.4","2084.2","5.5","1853.2","9.9","3952.9","3357.6","43.1","467.5","3878.8","7831.7"
"Jun-2017","2280.3","6.3","2053.2","12.4","4352.3","2254.6","6.2","2042.2","11.3","4314.3","3542.5","49.2","522.2","4125.1","8439.4"
"May-2017","2163.4","6.3","2095.9","11.8","4277.5","2135.7","6.1","2083.8","10.5","4236.2","3647.9","45.9","523.2","4228.2","8464.4"
"Apr-2017","1963.1","5.8","1988.2","11.5","3968.7","1936.9","5.7","1976.9","10.4","3929.9","3216.3","39.8","436.2","3702.6","7632.5"
"Mar-2017","2249.7","6.4","2267.6","13.7","4537.5","2220.2","6.3","2254.6","12.7","4493.8","3582.2","45.2","530.6","4169.9","8663.7"
"Feb-2017","1933.9","5.6","1987.6","11.2","3938.3","1906.7","5.5","1976.3","10.4","3898.9","3153.8","40.2","458.4","3663.1","7562.0"
"Jan-2017","2119.3","6.3","2154.8","12.3","4292.7","2089.7","6.2","2142.1","11.4","4249.5","3496.9","42.8","498.8","4051.2","8300.7"
"Dec-2016","2173.3","6.8","2209.1","13.1","4402.3","2146.8","6.6","2196.4","12.1","4362.0","3311.5","42.4","478.8","3845.5","8207.5"
"Nov-2016","2240.2","6.7","2240.3","12.2","4499.4","2215.5","6.5","2228.2","11.3","4461.5","3336.9","44.9","514.7","3908.5","8370.0"
"Oct-2016","2211.2","6.6","2198.3","11.7","4427.7","2180.2","6.5","2184.0","10.7","4381.3","3417.1","44.6","517.9","3991.2","8372.5"
"Sep-2016","2181.5","6.2","2126.3","12.1","4326.1","2153.4","6.0","2112.7","10.9","4283.0","3454.8","47.3","496.4","4010.0","8293.0"
"Aug-2016","2265.8","6.1","2149.6","12.5","4434.1","2238.6","5.9","2134.5","11.5","4390.5","3637.3","53.0","539.1","4241.5","8632.0"
"Jul-2016","2024.2","5.6","1824.5","11.4","3865.8","2002.4","5.5","1812.7","10.5","3831.1","3246.2","43.7","479.2","3779.2","7610.3"
"Jun-2016","2193.0","6.4","2013.5","13.3","4226.2","2168.7","6.3","2002.0","12.1","4189.1","3484.8","49.0","535.4","4079.7","8268.8"
"May-2016","2030.2","6.0","1949.0","13.0","3998.2","2005.7","5.8","1936.9","12.0","3960.4","3466.4","45.0","500.0","4022.3","7982.7"
"Apr-2016","1964.0","6.0","2000.2","12.9","3983.0","1939.8","5.9","1988.3","11.8","3945.8","3302.1","43.8","484.8","3842.1","7787.9"
"Mar-2016","2097.3","6.4","2145.2","14.3","4263.2","2069.5","6.2","2131.8","13.2","4220.8","3525.8","49.6","503.9","4091.7","8312.5"
"Feb-2016","1886.0","6.1","2000.9","12.5","3905.5","1859.7","6.0","1988.7","11.6","3866.0","3256.7","43.3","454.6","3765.8","7631.8"
